"WINTER STORM"			"WINTER STORM"
"TORNADO"			"TORNADO"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"HAIL"			"HAIL"
"HIGH WIND"			"HIGH WIND"
"HEAVY RAIN"			"HEAVY RAIN"
"FLASH FLOOD"			"FLASH FLOOD"
"FREEZING RAIN"			NA
"EXTREME COLD"			NA
"EXCESSIVE HEAT"			"EXCESSIVE HEAT"
"LIGHTNING"			"LIGHTNING"
"FUNNEL CLOUD"			"FUNNEL CLOUD"
"EXTREME WINDCHILL"			NA
"BLIZZARD"			"BLIZZARD"
"URBAN/SML STREAM FLD"			NA
"FLOOD"			"FLOOD"
"THUNDERSTORM WIND/HAIL"			NA
"WATERSPOUT"			"WATERSPOUT"
"RIP CURRENT"			"RIP CURRENT"
"HEAVY SNOW"			"HEAVY SNOW"
"OTHER"			NA
"RECORD DRY MONTH"			NA
"TEMPERATURE RECORD"			NA
"WILD/FOREST FIRE"			NA
"MINOR FLOODING"			NA
"ICE STORM"			"ICE STORM"
"STORM SURGE"			NA
"ICE JAM FLOOD (MINOR"			NA
"HIGH WIND"			"HIGH WIND"
"DUST STORM"			"DUST STORM"
"STRONG WIND"			"STRONG WIND"
"DUST DEVIL"			"DUST DEVIL"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"DROUGHT"			"DROUGHT"
"DRY MICROBURST"			NA
"FOG"			NA
"ROUGH SURF"			NA
"WIND"			NA
"THUNDERSTORM"			NA
"HEAVY SURF"			NA
"HEAVY SURF"			NA
"DUST DEVIL"			"DUST DEVIL"
"WIND DAMAGE"			NA
"MARINE ACCIDENT"			NA
"SNOW"			NA
"AVALANCHE"			"AVALANCHE"
"FREEZE"			NA
"TROPICAL STORM"			"TROPICAL STORM"
"SNOW SQUALL"			NA
"COASTAL FLOODING"			NA
"HEAVY RAIN"			"HEAVY RAIN"
"STRONG WIND"			"STRONG WIND"
"WIND"			NA
"WIND"			NA
"COASTAL FLOOD"			"COASTAL FLOOD"
"COASTAL STORM"			NA
"COASTALFLOOD"			NA
"EROSION/CSTL FLOOD"			NA
"HEAVY RAIN AND WIND"			NA
"LIGHT SNOW/FLURRIE"			NA
"WET MONTH"			NA
"WET YEAR"			NA
"TIDAL FLOODING"			NA
"RIVER FLOODING"			NA
"SNOW"			NA
"DAMAGING FREEZE"			NA
"DAMAGING FREEZE"			NA
"HURRICANE"			NA
"BEACH EROSION"			NA
"HOT AND DRY"			NA
"FLOOD/FLASH FLOOD"			NA
"ICY ROAD"			NA
"HIGH SURF"			"HIGH SURF"
"HEAVY RAIN/HIGH SURF"			NA
"HIGH SURF"			"HIGH SURF"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"RAIN DAMAGE"			NA
"ICE JAM"			NA
"UNSEASONABLE COLD"			NA
"EARLY FROST"			NA
"WINTRY MIX"			NA
"BLOWING SNOW"			NA
"STREET FLOODING"			NA
"RECORD COLD"			NA
"EXTREME COLD"			NA
"ICE FOG"			NA
"EXCESSIVE COLD"			NA
"TORRENTIAL RAINFALL"			NA
"FREEZING RAIN"			NA
"LANDSLUMP"			NA
"LATE-SEASON SNOWFALL"			NA
"HURRICANE EDOUARD"			NA
"COASTAL STORM"			NA
"FLOOD"			"FLOOD"
"HEAVY RAIN/WIND"			NA
"TIDAL FLOODING"			NA
"WINTER WEATHER"			"WINTER WEATHER"
"SNOW SQUALL"			NA
"STRONG WIND"			"STRONG WIND"
"STRONG WIND"			"STRONG WIND"
"RECORD WARM TEMPS."			NA
"ICE/SNOW"			NA
"MUDSLIDE"			NA
"GLAZE"			NA
"EXTENDED COLD"			NA
"SNOW ACCUMULATION"			NA
