"WINTER STORM"			"WINTER STORM"
"TORNADO"			"TORNADO"
"TSTM WIND"			NA
"HAIL"			"HAIL"
"HIGH WIND"			"HIGH WIND"
"HEAVY RAIN"			"HEAVY RAIN"
"FLASH FLOOD"			"FLASH FLOOD"
"FREEZING RAIN"			NA
"EXTREME COLD"			NA
"EXCESSIVE HEAT"			"EXCESSIVE HEAT"
"LIGHTNING"			"LIGHTNING"
"FUNNEL CLOUD"			"FUNNEL CLOUD"
"EXTREME WINDCHILL"			"EXTREME COLD/WIND CHILL"
"BLIZZARD"			"BLIZZARD"
"URBAN/SML STREAM FLD"			NA
"FLOOD"			"FLOOD"
"TSTM WIND/HAIL"			NA
"WATERSPOUT"			"WATERSPOUT"
"RIP CURRENTS"			"RIP CURRENT"
"HEAVY SNOW"			"HEAVY SNOW"
"OTHER"			NA
"RECORD DRY MONTH"			NA
"TEMPERATURE RECORD"			NA
"WILD/FOREST FIRE"			NA
"MINOR FLOODING"			NA
"ICE STORM"			"ICE STORM"
"STORM SURGE"			NA
"ICE JAM FLOOD (MINOR"			NA
"HIGH WIND"			"HIGH WIND"
"DUST STORM"			"DUST STORM"
"STRONG WIND"			"STRONG WIND"
"DUST DEVIL"			"DUST DEVIL"
"TSTM WIND"			NA
"DROUGHT"			"DROUGHT"
"DRY MICROBURST"			NA
"FOG"			NA
"ROUGH SURF"			NA
"WIND"			NA
"THUNDERSTORMS"			NA
"HEAVY SURF"			NA
"HEAVY SURF"			NA
"DUST DEVIL"			"DUST DEVIL"
"WIND DAMAGE"			NA
"MARINE ACCIDENT"			NA
"SNOW"			NA
"AVALANCHE"			"AVALANCHE"
"FREEZE"			NA
"TROPICAL STORM"			"TROPICAL STORM"
"SNOW SQUALLS"			NA
"COASTAL FLOODING"			"COASTAL FLOOD"
"HEAVY RAIN"			"HEAVY RAIN"
"STRONG WIND"			"STRONG WIND"
"WINDS"			NA
"WIND"			NA
"COASTAL FLOOD"			"COASTAL FLOOD"
"COASTAL STORM"			NA
"COASTALFLOOD"			"COASTAL FLOOD"
"EROSION/CSTL FLOOD"			NA
"HEAVY RAIN AND WIND"			NA
"LIGHT SNOW/FLURRIES"			NA
"WET MONTH"			NA
"WET YEAR"			NA
"TIDAL FLOODING"			NA
"RIVER FLOODING"			NA
"SNOW"			NA
"DAMAGING FREEZE"			NA
"DAMAGING FREEZE"			NA
"HURRICANE"			NA
"BEACH EROSION"			NA
"HOT AND DRY"			NA
"FLOOD/FLASH FLOOD"			"FLASH FLOOD"
"ICY ROADS"			NA
"HIGH SURF"			"HIGH SURF"
"HEAVY RAIN/HIGH SURF"			NA
"HIGH SURF"			"HIGH SURF"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"RAIN DAMAGE"			NA
"ICE JAM"			NA
"UNSEASONABLE COLD"			NA
"EARLY FROST"			NA
"WINTRY MIX"			NA
"BLOWING SNOW"			NA
"STREET FLOODING"			NA
"RECORD COLD"			NA
"EXTREME COLD"			NA
"ICE FOG"			NA
"EXCESSIVE COLD"			NA
"TORRENTIAL RAINFALL"			NA
"FREEZING RAIN"			NA
"LANDSLUMP"			NA
"LATE-SEASON SNOWFALL"			NA
"HURRICANE EDOUARD"			NA
"COASTAL STORM"			NA
"FLOOD"			"FLOOD"
"HEAVY RAIN/WIND"			NA
"TIDAL FLOODING"			NA
"WINTER WEATHER"			"WINTER WEATHER"
"SNOW SQUALLS"			NA
"STRONG WINDS"			"STRONG WIND"
"STRONG WINDS"			"STRONG WIND"
"RECORD WARM TEMPS."			NA
"ICE/SNOW"			NA
"MUDSLIDE"			NA
"GLAZE"			NA
"EXTENDED COLD"			NA
"SNOW ACCUMULATION"			NA
"FREEZING FOG"			"FREEZING FOG"
"DRIFTING SNOW"			"STRONG WIND"
"WHIRLWIND"			NA
"HEAVY SNOW SHOWER"			"HEAVY SNOW"
"HEAVY RAIN"			"HEAVY RAIN"
"COASTAL FLOODING"			"COASTAL FLOOD"
"LATE SNOW"			NA
"RECORD MAY SNOW"			NA
"RECORD WINTER SNOW"			NA
"HEAVY PRECIPITATION"			NA
"COASTAL FLOOD"			"COASTAL FLOOD"
"RECORD TEMPERATURE"			NA
"LIGHT SNOW"			NA
"LATE SEASON SNOWFALL"			NA
"GUSTY WIND"			NA
"SMALL HAIL"			NA
"LIGHT SNOW"			NA
"MIXED PRECIP"			NA
"BLACK ICE"			NA
"MUDSLIDES"			NA
"GRADIENT WIND"			NA
"SNOW AND ICE"			NA
"COLD"			NA
"FREEZING SPRAY"			NA
"DOWNBURST"			NA
"HEATBURST"			NA
"METRO STORM, MAY 26"			NA
"MICROBURST"			NA
"WET MICOBURST"			NA
"HAIL/WIND"			NA
"HAIL(0.75)"			NA
"FUNNEL CLOUD"			"FUNNEL CLOUD"
"URBAN FLOODING"			NA
"NO SEVERE WEATHER"			NA
"URBAN FLOOD"			NA
"URBAN FLOOD"			NA
"COLD"			NA
"WINTER WEATHER"			"WINTER WEATHER"
"COASTAL FLOOD"			"COASTAL FLOOD"
"COASTAL FLOODING"			"COASTAL FLOOD"
"SMALL HAIL"			NA
"RECORD TEMPERATURES"			NA
"LIGHT SNOWFALL"			NA
"FREEZING DRIZZLE"			NA
"GUSTY WIND/RAIN"			NA
"GUSTY WIND/HVY RAIN"			NA
"BLOWING SNOW"			NA
"EARLY SNOWFALL"			NA
"MONTHLY SNOWFALL"			NA
"RECORD HEAT"			NA
"SEASONAL SNOWFALL"			NA
"MONTHLY RAINFALL"			NA
"COLD TEMPERATURE"			NA
"SML STREAM FLD"			NA
"HEAT WAVE"			NA
"MUDSLIDE/LANDSLIDE"			NA
"SAHARAN DUST"			NA
"VOLCANIC ASH"			"VOLCANIC ASH"
"VOLCANIC ASH PLUME"			NA
"THUNDERSNOW SHOWER"			NA
"NONE"			NA
"COLD AND SNOW"			NA
"DAM BREAK"			NA
"RAIN"			NA
"RAIN/SNOW"			NA
"OTHER"			NA
"FREEZE"			NA
"TSTM WIND (G45)"			NA
"RECORD WARMTH"			NA
"STRONG WINDS"			"STRONG WIND"
"FREEZING DRIZZLE"			NA
"UNSEASONABLY WARM"			NA
"SLEET/FREEZING RAIN"			NA
"BLACK ICE"			NA
"WINTRY MIX"			NA
"BLOW-OUT TIDES"			NA
"UNSEASONABLY COLD"			NA
"UNSEASONABLY COOL"			NA
"TSTM HEAVY RAIN"			NA
"UNSEASONABLY DRY"			NA
"GUSTY WINDS"			NA
"GUSTY WIND"			NA
"TSTM WIND 40"			NA
"TSTM WIND 45"			NA
"HARD FREEZE"			NA
"TSTM WIND (41)"			NA
"HEAT"			"HEAT"
"RIVER FLOOD"			NA
"TSTM WIND (G40)"			NA
"RIP CURRENT"			"RIP CURRENT"
"TSTM WND"			NA
